#{"t_start": 1751257701.4948792, "env_id": "None"}
r,l,t
39.0,40,374.156841
32.893103,43,374.573134
42.0,52,375.057888
38.556863,37,375.421495
40.686143,41,375.829434
32.401544,60,376.352952
44.026217,29,376.647866
44.874564,20,376.889164
43.823481,30,377.200196
32.591065,32,377.521903
35.481203,38,377.885328
32.363636,77,378.551893
40.596959,27,378.843683
41.130584,27,379.134829
39.0,30,379.449914
38.811024,27,379.752185
38.877384,31,380.07319
38.766355,37,380.430389
43.835928,55,380.947508
38.346915,33,381.278903
47.0125,26,381.554932
44.531599,39,381.942714
43.150925,33,382.279403
44.222672,23,382.533247
39.0,30,382.859689
35.680147,41,383.263719
39.0,25,383.542735
32.558233,40,383.956686
42.820233,28,384.261967
35.302083,48,384.754044
38.208163,44,385.171923
38.570909,27,385.45532
44.310606,32,385.779624
44.765568,26,386.07978
44.834559,39,386.460212
42.953068,35,386.843084
44.221583,26,387.127304
41.592334,37,387.501751
38.060837,31,387.816396
38.2375,46,388.246541
41.914826,27,388.538781
38.315336,32,388.871987
38.902778,32,389.211711
44.59396,20,389.463874
38.337349,43,389.879118
44.766187,29,390.183488
46.475108,21,390.434409
44.517361,23,390.689105
38.592885,45,391.122294
42.0,20,391.355827
41.385965,39,391.73443
40.977604,50,392.195343
44.117391,30,392.502649
40.716051,37,392.865282
41.415441,31,393.180084
35.662393,51,393.687763
41.938224,23,393.944329
35.525253,34,394.277495
38.130112,29,394.578446
35.21875,36,394.94947
43.372067,34,395.299364
38.494774,39,395.709377
37.813541,26,395.991744
43.94,19,396.223572
44.248908,65,396.791628
44.32871,37,397.146044
41.164805,29,397.452776
32.684615,108,398.360646
41.903614,24,398.634121
35.852941,41,399.043951
-35.22,45,399.492763
44.21673,21,399.741189
44.315789,28,400.032291
41.404412,23,400.292001
38.751908,31,400.612841
-32.09,39,400.988998
42.0,24,401.264295
38.631179,38,401.639065
-32.6,43,402.045634
35.645669,51,402.512257
35.496753,47,402.967924
41.032864,22,403.216337
40.659407,33,403.543173
41.225806,29,403.868566
43.338525,41,404.278068
43.342309,27,404.587385
44.15,23,404.8487
32.933333,148,406.06733
35.503968,78,406.729942
43.997341,18,406.952388
41.213407,43,407.34887
38.94186,55,407.843751
-32.89,39,408.223674
36.0,46,408.674484
33.0,51,409.143744
38.065116,43,409.542268
44.058715,29,409.841241
43.963705,36,410.225778
45.0,29,410.537248
-32.67,48,411.001872
44.467976,26,411.291905
41.083591,32,411.624231
32.045627,53,412.10533
43.735045,29,412.426096
44.10933,28,412.722699
38.325,31,413.051216
38.200758,34,413.407482
33.0,34,413.749546
47.052083,24,414.027007
38.085682,41,414.410958
43.062668,37,414.762415
43.309253,54,415.245726
40.921233,58,415.795494
38.44856,26,416.084639
45.0,24,416.384562
38.655844,53,416.895501
44.24124,31,417.210826
41.938272,33,417.550163
41.90625,26,417.838235
35.421296,71,418.456461
-32.23,60,419.002338
37.316343,42,419.408361
41.626415,25,419.6962
41.922261,34,420.04775
41.316602,25,420.313402
-32.6,84,421.059139
46.828514,29,421.38431
38.037512,45,423.179456
44.312087,20,423.38588
43.88206,23,423.612458
38.200758,38,423.9644
44.236035,34,424.316966
38.501901,35,424.651761
39.0,39,425.056811
44.168675,41,425.456681
35.525097,34,425.766365
43.83024,33,426.076678
-35.11,37,426.416161
39.0,27,426.693404
38.592233,38,427.05215
38.238411,34,427.356815
32.087452,52,427.791657
40.998961,39,428.143133
32.873646,44,428.509948
42.843767,33,428.822195
43.895605,35,429.144826
41.158451,27,429.431999
38.835088,27,429.693967
46.929425,26,429.954342
41.792373,37,430.2944
35.553959,43,430.662191
41.7,31,430.963553
41.630137,33,431.271087
44.435115,27,431.562906
35.48289,37,431.898609
44.435579,28,432.169484
